id,code,first_name,second_name,web_name,team,position,price,fbref_id
160,82403,Wilfried,Zaha,Zaha,7,M,7.2,b2bc3b1f
161,86417,Jeffrey,Schlupp,Schlupp,7,M,4.7,3312f911
163,108413,Will,Hughes,Hughes,7,M,4.8,a0666d3e
165,174874,Joachim,Andersen,Andersen,7,D,4.5,e34fc66d
166,199670,Odsonne,Edouard,Edouard,7,F,5.1,0562b7f1
167,209036,Marc,Guéhi,Guéhi,7,D,4.4,d0706b27
168,231747,Jean-Philippe,Mateta,Mateta,7,F,5.1,50e6dc35
169,232413,Eberechi,Eze,Eze,7,M,5.4,ae4fc6a4
170,244723,Tyrick,Mitchell,Mitchell,7,D,4.4,5cbd1eb0
171,443661,Michael,Olise,Olise,7,M,5.4,c4486bac
514,438464,Cheick,Doucouré,C.Doucouré,7,M,5.0,ce4f40c7
530,427623,Chris,Richards,Richards,7,D,4.4,0a3d6d2b
110,115382,Neal,Maupay,Maupay,8,F,5.9,4bcf39f6
178,59949,Seamus,Coleman,Coleman,8,D,4.4,0420d84f
185,121599,Abdoulaye,Doucouré,A.Doucouré,8,M,5.3,02b29014
186,153133,Alex,Iwobi,Iwobi,8,M,5.4,6ca5ec4b
189,172632,Demarai,Gray,Gray,8,M,5.3,4468ec10
190,173807,Tom,Davies,Davies,8,M,4.9,9228b07c
191,177815,Dominic,Calvert-Lewin,Calvert-Lewin,8,F,7.9,59e6e5bf
192,194164,Mason,Holgate,Holgate,8,D,4.3,d0042ab9
194,224967,Vitalii,Mykolenko,Mykolenko,8,D,4.3,30d4a2e5
197,243571,Nathan,Patterson,Patterson,8,D,3.9,230f0471
199,17761,James,Tarkowski,Tarkowski,8,D,4.3,15ea812b
475,94147,Conor,Coady,Coady,8,D,4.9,2928dca2
534,433154,Dwight,McNeil,McNeil,8,M,5.1,fc15fb84
577,449871,Amadou,Onana,Onana,8,M,4.8,828657ff
611,80801,Idrissa,Gueye,Gueye,8,M,4.9,72c812f3
200,76357,Tom,Cairney,Cairney,9,M,4.7,a8748947
201,82514,Tim,Ream,Ream,9,D,4.6,28b40c9c
204,92259,Neeskens,Kebano,Kebano,9,M,5.4,18b999f4
205,96994,Bobby,De Cordova-Reid,De Cordova-Reid,9,M,5.5,0f7533cd
209,109646,Tosin,Adarabioyo,Tosin,9,D,4.5,c81d773d
210,128389,Aleksandar,Mitrović,Mitrović,9,F,6.9,3925dbd6
211,153366,Harrison,Reed,Reed,9,M,4.4,803ae100
212,153682,Harry,Wilson,Wilson,9,M,5.7,c6dc9ecd
215,167074,Kenny,Tete,Tete,9,D,4.4,77d7c96f
217,169528,Antonee,Robinson,Robinson,9,D,4.4,289601e6
220,154296,João,Palhinha Gonçalves,Palhinha,9,M,4.9,a78ff07f
231,200617,Daniel,James,James,9,M,6.0,c931d9f9
346,156689,Andreas,Hoelgebaum Pereira,Andreas,9,M,4.4,6639e500
470,219924,Issa,Diop,Diop,9,D,4.3,a712ca2b
614,47431,Willian,Borges da Silva,Willian,9,M,5.5,8b9ebd03
618,245824,Carlos Vinícius,Alves Morais,Vinícius,9,F,5.4,8b529245
249,37642,Jonny,Evans,Evans,10,D,4.4,f8fcd2a5
252,86881,Nampalys,Mendy,Mendy,10,M,4.3,1598599e
255,101668,Jamie,Vardy,Vardy,10,F,9.1,45963054
257,155569,Daniel,Amartey,Amartey,10,D,4.1,1a4ef233
258,166477,Timothy,Castagne,Castagne,10,D,4.4,197640fd
259,166989,Youri,Tielemans,Tielemans,10,M,6.1,56f7a928
260,168580,Ayoze,Pérez,Pérez,10,M,4.7,819aa8e7
261,172780,James,Maddison,Maddison,10,M,8.1,ee38d9c5
262,173515,Kelechi,Iheanacho,Iheanacho,10,F,6.1,c92e1a31
264,201666,Harvey,Barnes,Barnes,10,M,6.7,3ea50f67
265,203341,Wilfred,Ndidi,Ndidi,10,M,4.8,6b47c5db
266,215413,Kiernan,Dewsbury-Hall,Dewsbury-Hall,10,M,4.9,5c74c0f5
268,220627,James,Justin,Justin,10,D,4.2,fb614c44
269,225902,Boubakary,Soumaré,Soumaré,10,M,4.4,ae59b359
270,244619,Luke,Thomas,Thomas,10,D,4.1,fc027d02
271,245419,Patson,Daka,Daka,10,F,5.6,ca45605e
549,106837,Dennis,Praet,Praet,10,M,4.8,86695068
612,218218,Wout,Faes,Faes,10,D,4.2,9c221d14
727,194190,Harry,Souttar,Souttar,10,D,4.5,
221,55914,Liam,Cooper,Cooper,11,D,4.4,dc64b8b3
222,66588,Luke,Ayling,Ayling,11,D,4.5,420d7c7d
225,80954,Rodrigo,Moreno,Rodrigo,11,M,6.3,1fb1c435
227,106617,Patrick,Bamford,Bamford,11,F,7.2,93feac6e
228,149915,Diego,Llorente,Llorente,11,D,4.4,bba30585
230,193645,Robin,Koch,Koch,11,D,4.5,ea6bc03a
233,221399,Jack,Harrison,Harrison,11,M,5.8,aa849a12
235,222694,Pascal,Struijk,Struijk,11,D,4.5,f4d296e4
237,248937,Sam,Greenwood,Greenwood,11,F,4.1,f3354c07
239,443967,Junior,Firpo Adames,Firpo,11,D,4.5,24f59bb2
240,450070,Crysencio,Summerville,Summerville,11,M,4.2,df04eb4b
244,224209,Rasmus,Kristensen,Kristensen,11,D,4.8,39769cff
245,234370,Marc,Roca Junqué,Roca,11,M,4.8,da27e268
246,427637,Brenden,Aaronson,Aaronson,11,M,5.4,5bc43860
506,200785,Tyler,Adams,Adams,11,M,4.9,2b09d998
508,224995,Luis,Sinisterra Lucumí,Sinisterra,11,M,6.5,8e16dd48
619,492859,Wilfried,Gnonto,Gnonto,11,F,5.0,75fdd638
691,220087,Maximilian,Wöber,Wöber,11,D,4.5,4b803b3c
720,241519,Weston,McKennie,McKennie,11,M,5.0,
274,15157,James,Milner,Milner,12,M,4.4,2f90f6b8
275,56979,Jordan,Henderson,Henderson,12,M,5.3,935e6b8f
276,60914,Joel,Matip,Matip,12,D,5.9,b217ef29
277,61558,Thiago,Alcántara do Nascimento,Thiago,12,M,5.1,77e84962
278,81880,Alex,Oxlade-Chamberlain,Chamberlain,12,M,4.9,38c7feef
279,92217,Roberto,Firmino,Firmino,12,F,8.0,4c370d81
280,97032,Virgil,van Dijk,Van Dijk,12,D,6.5,e06683ca
282,116643,Fabio Henrique,Tavares,Fabinho,12,M,5.2,7f3b388c
283,118748,Mohamed,Salah,Salah,12,M,12.6,e342ad68
284,122798,Andrew,Robertson,Robertson,12,D,6.8,2e4f5f03
285,169187,Trent,Alexander-Arnold,Alexander-Arnold,12,D,7.3,cd1acf9d
286,171287,Joseph,Gomez,Gomez,12,D,4.3,7a11550b
290,204716,Ibrahima,Konaté,Konaté,12,D,4.8,5ed9b537
292,214285,Konstantinos,Tsimikas,Tsimikas,12,D,4.4,f315ca93
293,244731,Luis,Díaz,Luis Díaz,12,M,7.8,4a1a9578
294,444884,Harvey,Elliott,Elliott,12,M,4.9,c8387671
296,244858,Fábio,Freitas Gouveia Carvalho,Carvalho,12,M,5.1,966e28d0
297,447203,Darwin,Núñez Ribeiro,Darwin,12,F,8.7,4d77b365
564,535928,Stefan,Bajcetic,Bajcetic,12,M,4.4,32e8417f
680,243298,Cody,Gakpo,Gakpo,12,M,7.7,1971591f
299,58621,Kyle,Walker,Walker,13,D,4.8,86dd77d1
300,59859,Ilkay,Gündogan,Gündogan,13,M,7.3,819b3158
301,61366,Kevin,De Bruyne,De Bruyne,13,M,12.4,e46012d4
302,97299,John,Stones,Stones,13,D,5.4,5eecec3d
303,103025,Riyad,Mahrez,Mahrez,13,M,7.8,892d5bb1
305,114283,Jack,Grealish,Grealish,13,M,6.8,b0b4fd3e
306,121145,João,Cancelo,Cancelo,13,D,7.1,bd6351cd
308,126184,Nathan,Aké,Aké,13,D,5.1,eaeca114
309,146941,Aymeric,Laporte,Laporte,13,D,5.7,119b9a8e
311,165809,Bernardo,Veiga de Carvalho e Silva,Bernardo,13,M,6.8,3eb22ec9
312,171314,Rúben,Gato Alves Dias,Dias,13,D,5.9,31c69ef1
314,209244,Phil,Foden,Foden,13,M,8.0,ed1e53f3
315,220566,Rodrigo,Hernandez,Rodri,13,M,5.6,6434f10d
318,223094,Erling,Haaland,Haaland,13,F,12.2,1f44ac21
319,461358,Julián,Álvarez,Álvarez,13,F,6.0,15ab5a2b
573,477064,Rico,Lewis,Lewis,13,D,3.9,b57e066e
610,211975,Manuel,Akanji,Akanji,13,D,5.0,89ac64a6
